account_id,customer_id,product_type,open_date,current_balance,avg_monthly_turnover,dormant_flag
10000,580,savings,2023-03-26,9432.69,1830.66,0
10001,869,current,2021-08-27,5428.73,1340.57,0
10002,2153,current,2023-09-20,5575.32,1483.99,0
10003,258,current,2021-03-09,7580.09,3482.96,0
10004,272,current,2023-09-30,5515.42,11416.47,0
10005,756,current,2020-08-21,9463.73,2946.5,0
10006,1508,savings,2023-06-20,4775.62,777.94,0
10007,2017,credit,2020-07-24,5573.21,1617.06,0
10008,1407,current,2024-05-04,4740.56,3791.82,0
10009,1234,current,2023-02-15,3856.73,1870.32,0
10010,2178,current,2020-03-14,12240.87,1138.23,0
10011,429,savings,2020-07-17,15400.0,3019.46,1
10012,2255,current,2020-12-08,13642.34,1612.09,0
10013,782,current,2024-10-18,2697.52,3949.97,0
10014,690,credit,2022-12-11,1879.71,4025.68,0
10015,2384,credit,2021-05-24,1855.04,4915.51,0
10016,1615,savings,2021-05-20,2758.56,5503.26,0
10017,1080,current,2020-02-17,7777.41,1788.95,0
10018,826,current,2021-01-05,1528.43,6174.11,0
10019,1104,current,2024-04-09,6575.86,2569.5,0
10020,1980,savings,2022-12-28,3830.31,589.1,1
10021,383,savings,2021-11-01,5048.2,5708.53,0
10022,436,current,2020-02-08,13222.11,8236.51,0
10023,762,credit,2021-09-17,5212.35,2889.51,1
10024,1206,current,2021-11-29,5518.16,6398.26,0
10025,2037,savings,2020-08-04,6267.56,3052.73,0
10026,527,current,2023-01-13,21976.96,2159.53,1
10027,1966,current,2023-04-20,4508.08,3088.94,0
10028,2270,current,2024-12-26,4456.5,3333.57,0
10029,1089,savings,2021-10-16,9702.97,3803.01,0
10030,2404,current,2021-05-18,19138.68,2669.87,0
10031,2235,current,2024-02-10,1436.88,5545.48,1
10032,1993,savings,2021-10-01,21720.75,4740.76,0
10033,951,savings,2023-02-24,8949.91,1481.72,0
10034,752,savings,2023-09-07,2172.73,2289.07,0
10035,2161,savings,2024-05-24,6660.1,5345.32,0
10036,1104,savings,2021-08-04,3526.31,3002.25,0
10037,79,savings,2023-02-10,10067.98,1878.8,1
10038,1793,current,2020-08-27,1829.63,2927.7,0
10039,869,current,2023-11-23,9419.39,947.82,0
10040,2340,current,2020-03-23,7025.78,7520.0,0
10041,2138,current,2023-06-25,3851.78,3416.89,0
10042,261,current,2021-01-16,10317.17,2130.74,0
10043,2254,current,2022-04-24,10654.34,906.27,0
10044,2375,current,2020-05-19,9733.64,9953.31,1
10045,1892,savings,2023-06-10,3842.71,829.19,0
10046,689,savings,2022-05-29,9987.13,4410.94,0
10047,1675,current,2023-04-26,1333.18,2681.14,1
10048,2171,credit,2021-09-26,13115.15,2928.35,0
10049,2039,current,2020-01-13,5493.92,3185.25,0
10050,1078,current,2022-11-26,4061.82,2205.18,0
10051,1769,current,2023-06-29,1919.91,3352.59,0
10052,965,current,2023-04-28,23196.52,3716.06,1
10053,636,current,2021-04-23,7441.59,5117.78,0
10054,1683,credit,2023-07-31,3487.04,4750.5,0
10055,1166,current,2022-09-15,6911.05,1502.02,0
10056,563,current,2021-01-18,3712.04,1757.48,0
10057,1652,current,2020-07-22,7367.78,6187.74,1
10058,805,current,2021-08-16,10136.94,2421.71,0
10059,1470,savings,2020-02-12,5782.37,4235.33,0
10060,904,savings,2023-07-30,3159.0,7048.71,1
10061,2213,savings,2020-01-28,9274.76,3491.43,0
10062,2127,savings,2020-03-29,2808.84,1447.82,0
10063,1185,current,2020-10-15,5881.45,1471.91,0
10064,1777,current,2021-08-18,19335.36,2669.66,0
10065,445,savings,2020-02-06,6124.7,2676.67,0
10066,2494,current,2023-02-23,7769.95,1267.52,0
10067,537,current,2020-08-29,10830.54,1680.24,0
10068,2168,current,2024-01-05,14474.24,4791.61,0
10069,2116,savings,2022-10-17,1677.26,6259.66,1
10070,446,current,2020-06-01,5447.31,2476.54,0
10071,22,credit,2021-12-31,2864.66,110.85,0
10072,1843,current,2020-09-12,16071.64,4532.33,0
10073,2173,current,2024-11-24,5082.19,707.28,0
10074,1791,current,2022-12-17,1013.05,1005.04,0
10075,139,current,2024-01-15,8436.41,2881.7,0
10076,1614,current,2021-11-14,4397.33,7284.0,0
10077,980,savings,2020-09-24,8110.28,5280.17,0
10078,2290,current,2021-03-04,11091.6,4923.04,0
10079,2001,current,2022-01-30,13152.18,2904.61,0
10080,1998,current,2023-11-07,17382.92,1172.61,0
10081,1020,current,2022-02-25,17617.12,6597.06,0
10082,806,credit,2024-08-21,1699.06,1207.08,0
10083,2056,current,2021-10-22,5553.82,4159.26,0
10084,288,savings,2021-03-01,2677.93,3653.1,0
10085,251,current,2022-06-23,8458.42,1074.75,0
10086,156,current,2020-07-21,5771.59,683.87,0
10087,1279,savings,2023-05-07,12524.47,4916.84,0
10088,189,current,2020-07-03,6645.95,3295.71,0
10089,1457,credit,2023-03-15,15903.88,6568.9,0
10090,419,current,2021-11-29,18046.51,4026.65,0
10091,2228,current,2021-10-13,15544.71,3691.23,0
10092,1081,credit,2023-01-19,922.5,474.21,0
10093,235,current,2023-07-10,7951.54,3614.58,0
10094,1735,credit,2024-08-22,5204.8,3046.47,0
10095,847,credit,2021-06-12,5777.93,4064.6,0
10096,655,current,2024-01-21,11247.79,3048.94,0
10097,1649,current,2024-03-04,5461.3,2990.73,0
10098,2390,savings,2024-12-22,6928.82,2855.24,0
10099,2450,current,2024-10-25,7190.84,1959.2,0
10100,1089,savings,2023-12-13,1240.24,4874.44,0
10101,2121,current,2021-06-21,4896.63,14728.14,0
10102,524,current,2023-06-21,13075.29,1137.77,0
10103,2117,current,2023-12-03,1055.82,1538.01,0
10104,2356,savings,2021-06-15,9492.53,4861.14,0
10105,1293,savings,2024-01-24,3465.14,2609.52,0
10106,1308,savings,2023-07-04,5120.52,2236.99,0
10107,1411,current,2022-06-14,10692.86,687.96,0
10108,183,current,2024-04-21,2853.1,1618.23,0
10109,2147,current,2020-06-09,5441.47,1403.6,0
10110,1845,current,2023-06-02,1704.32,725.87,0
10111,2175,current,2023-12-05,8677.22,6015.8,1
10112,289,current,2020-03-14,3785.35,3495.65,0
10113,2006,current,2022-01-13,2121.8,13836.32,0
10114,907,current,2022-08-01,6650.1,3763.12,0
10115,2047,savings,2021-01-14,1634.19,1226.74,0
10116,2485,current,2024-05-23,5016.3,4012.03,0
10117,2200,credit,2023-02-17,3529.99,4610.82,0
10118,2289,current,2021-05-17,7644.96,2087.67,0
10119,285,current,2022-03-08,7756.83,4513.66,0
10120,822,credit,2020-07-23,4012.89,4438.08,0
10121,732,current,2020-06-08,15666.38,1700.81,0
10122,1285,savings,2023-09-24,12670.64,5088.05,0
10123,2441,current,2024-11-30,3146.24,3895.76,0
10124,1715,current,2021-05-20,24066.55,3266.12,0
10125,1362,savings,2021-03-22,10375.49,3504.21,1
10126,2013,current,2023-06-02,8202.83,1215.69,0
10127,442,current,2022-07-21,8562.1,7697.49,0
10128,1652,current,2020-09-11,2510.43,2580.28,0
10129,1258,current,2023-05-02,13962.57,2390.49,0
10130,509,current,2021-01-17,1249.83,4118.5,0
10131,1615,savings,2020-07-29,8530.25,12562.39,0
10132,2102,current,2022-04-27,12776.53,5229.32,0
10133,2071,credit,2023-09-11,3351.21,2612.56,0
10134,2108,current,2022-08-09,10845.23,4083.73,0
10135,2031,current,2023-03-29,7082.74,4066.04,0
10136,1173,current,2021-03-10,11280.91,3249.08,0
10137,124,savings,2022-06-20,12414.72,1263.68,0
10138,2414,savings,2023-07-25,16545.23,5336.49,0
10139,1134,current,2022-08-22,14354.41,2271.32,0
10140,1582,current,2021-03-13,1424.01,1817.24,0
10141,52,savings,2024-10-08,3206.99,2453.37,0
10142,2222,current,2020-05-02,9118.46,6288.79,0
10143,2221,current,2024-07-20,12519.81,2234.94,0
10144,2321,savings,2023-08-15,2867.4,3014.97,0
10145,435,current,2020-07-23,10241.28,10607.76,0
10146,2108,savings,2021-04-10,14992.95,2344.2,0
10147,1563,savings,2021-11-03,12221.42,2935.52,0
10148,366,current,2024-10-13,10139.7,3213.22,1
10149,1427,current,2022-08-01,6337.45,2327.29,0
10150,1192,current,2021-04-16,6125.68,2908.98,0
10151,1564,savings,2024-08-05,21713.04,3490.14,0
10152,210,current,2020-08-03,139.69,2245.92,0
10153,1409,current,2024-01-30,4588.32,650.75,0
10154,1694,current,2024-02-25,3207.22,957.8,1
10155,1789,current,2021-12-06,2109.33,3129.15,0
10156,1923,current,2020-03-19,9746.67,8407.14,0
10157,1566,current,2024-06-05,8897.2,2576.1,0
10158,1754,current,2024-10-31,6739.42,3847.15,0
10159,226,current,2021-11-21,8892.99,6594.38,0
10160,1995,savings,2020-12-04,11273.41,4473.59,1
10161,917,savings,2021-05-09,5722.76,3194.92,0
10162,1370,current,2020-09-05,9305.16,2943.78,0
10163,1367,current,2023-01-18,5361.97,1914.48,0
10164,2441,current,2022-08-04,9508.54,5241.7,0
10165,813,current,2021-10-11,15053.02,6340.58,0
10166,961,credit,2023-04-02,11996.09,57.02,0
10167,1901,current,2023-02-09,18353.51,5266.81,0
10168,1586,current,2020-01-21,4605.26,4656.07,0
10169,795,current,2022-01-17,3862.05,2448.26,0
10170,861,savings,2024-04-24,8766.88,1920.18,0
10171,2072,current,2023-12-23,4712.3,4261.45,0
10172,2090,credit,2024-04-09,9776.56,952.29,0
10173,367,current,2024-10-07,7640.61,2510.04,0
10174,1000,current,2020-04-22,3247.79,3838.46,0
10175,1924,current,2021-05-08,9025.24,7178.5,0
10176,297,savings,2022-04-18,3426.03,8995.91,0
10177,459,current,2022-07-19,15722.59,1375.68,0
10178,397,credit,2023-12-05,5808.37,4056.01,0
10179,1321,credit,2023-08-15,3831.33,3202.16,0
10180,1128,current,2023-07-12,7796.28,4824.87,0
10181,802,current,2020-10-16,8368.24,2861.71,0
10182,340,current,2023-05-21,4494.17,5006.52,0
10183,1594,savings,2023-12-23,4339.36,3781.11,0
10184,2019,savings,2023-10-04,1616.83,2087.05,0
10185,532,current,2022-11-29,11597.12,5038.23,0
10186,1667,credit,2020-06-10,15451.05,2910.14,1
10187,1989,current,2020-09-30,12733.91,3369.68,0
10188,1393,savings,2023-09-18,3742.48,1589.67,0
10189,1434,savings,2024-05-03,8872.24,2647.89,0
10190,418,current,2024-02-15,7878.92,7088.05,0
10191,2394,current,2022-02-17,2028.69,2142.65,0
10192,2392,current,2022-12-07,4468.06,9028.02,0
10193,1780,credit,2020-11-18,8467.36,3459.04,0
10194,2257,current,2022-12-16,1057.66,3917.48,0
10195,1519,savings,2020-12-22,2841.64,1843.29,0
10196,1654,current,2023-12-21,10746.49,5251.94,0
10197,2073,current,2023-12-04,3645.49,891.13,0
10198,96,credit,2020-04-03,2052.41,2699.46,0
10199,550,current,2024-09-03,12321.93,1853.0,0
10200,509,savings,2023-12-23,3646.45,1054.97,0
10201,1582,current,2021-11-21,10797.99,4820.71,0
10202,606,current,2022-04-03,18090.79,2781.41,0
10203,977,current,2020-05-23,2770.34,3364.89,0
10204,1235,current,2024-09-04,5955.7,1922.81,0
10205,1860,savings,2020-07-03,7930.67,5507.96,0
10206,1294,current,2024-08-10,12181.76,3760.85,0
10207,62,current,2023-04-09,4454.3,7925.1,0
10208,1717,current,2024-08-03,531.58,2012.92,0
10209,1070,savings,2021-11-07,2768.71,2002.91,0
10210,284,savings,2024-06-22,5126.8,4514.48,1
10211,1630,savings,2022-02-16,10785.24,8441.64,1
10212,676,credit,2021-09-30,5998.21,2238.83,0
10213,1152,current,2021-09-07,10334.8,367.99,0
10214,2419,current,2024-10-03,4994.56,1197.95,0
10215,595,current,2022-04-29,7437.52,7087.84,0
10216,2214,current,2022-05-23,11305.52,2615.54,0
10217,1161,savings,2023-03-20,13237.01,9586.57,0
10218,2332,savings,2022-10-11,20587.67,1367.62,0
10219,2125,current,2022-09-14,8123.36,4535.88,0
10220,2081,credit,2021-11-22,1305.83,4599.33,0
10221,518,current,2020-10-26,9072.51,952.72,1
10222,1978,savings,2024-12-20,1219.04,973.07,0
10223,918,current,2022-06-15,9786.45,2686.16,0
10224,2276,savings,2024-11-09,7259.47,4807.85,0
10225,2476,current,2022-04-20,12792.14,4150.32,0
10226,1530,credit,2022-12-29,4970.25,2859.37,0
10227,2283,credit,2022-09-22,7496.73,2784.83,0
10228,1334,current,2024-10-28,9173.63,502.26,0
10229,85,current,2020-07-20,683.78,1644.38,0
10230,2185,savings,2022-08-02,8898.66,797.01,0
10231,1326,current,2020-10-07,752.16,4090.77,0
10232,111,current,2024-05-03,3840.06,1205.45,0
10233,164,current,2022-08-25,8302.08,7014.72,0
10234,1809,credit,2024-08-11,996.28,3362.25,0
10235,2310,savings,2021-05-17,10084.2,1601.53,0
10236,1744,current,2020-10-24,9546.79,6300.06,0
10237,1104,credit,2023-02-21,12443.4,1100.59,0
10238,768,current,2020-09-23,1616.47,1124.62,0
10239,1047,current,2021-11-11,20228.66,1553.69,0
10240,808,credit,2021-07-26,2367.23,6325.09,0
10241,683,current,2021-02-06,7461.34,9641.41,0
10242,321,current,2020-08-26,5199.36,798.79,0
10243,1423,current,2023-04-12,6108.76,16659.98,0
10244,546,savings,2023-10-15,18434.62,4914.54,0
10245,363,current,2021-12-19,2676.43,2303.12,0
10246,690,current,2021-05-27,16693.95,4617.15,0
10247,1998,current,2020-10-14,11024.61,6410.63,0
10248,1433,current,2023-05-20,6594.39,1628.22,0
10249,1229,current,2024-01-16,6547.95,6435.12,0
10250,1480,current,2022-09-27,9572.19,3197.06,0
10251,1417,credit,2022-02-26,4929.48,784.96,0
10252,1245,savings,2023-03-29,5647.76,4877.75,0
10253,2103,savings,2024-07-28,7432.95,8163.14,0
10254,1826,credit,2024-12-11,15531.42,4284.78,0
10255,463,credit,2020-12-18,6048.13,1325.99,0
10256,2043,savings,2022-05-20,1435.46,4330.77,0
10257,438,current,2024-05-18,7645.08,3845.89,0
10258,196,savings,2023-02-28,6306.02,4596.95,0
10259,1053,current,2024-01-29,4113.9,736.28,0
10260,983,current,2024-12-22,8457.9,835.17,1
10261,1966,current,2020-07-08,4223.93,2100.86,0
10262,1739,current,2023-01-22,5942.73,5650.37,0
10263,147,current,2022-08-28,7455.86,5089.35,0
10264,1247,savings,2021-06-03,7959.64,6078.07,0
10265,1988,current,2023-04-07,8915.02,4655.03,0
10266,1833,current,2020-07-08,9747.04,5390.28,0
10267,1252,current,2022-06-23,7347.17,3829.37,0
10268,1540,credit,2022-01-26,1775.76,2873.48,0
10269,1405,current,2021-12-13,8154.23,4977.28,0
10270,579,current,2023-01-25,12230.88,1214.42,0
10271,1411,savings,2024-09-18,1396.02,1509.81,0
10272,1688,savings,2024-09-25,1793.69,1099.89,0
10273,141,current,2023-07-02,3712.42,3639.72,0
10274,1739,savings,2021-08-27,11752.51,1231.65,0
10275,625,current,2024-10-28,3544.7,323.41,0
10276,20,credit,2024-12-27,11857.95,940.37,0
10277,1889,current,2024-03-24,7824.85,8171.32,1
10278,975,savings,2024-05-12,4366.23,3665.76,0
10279,1031,current,2024-01-31,30907.58,6294.21,0
10280,1561,savings,2023-10-19,2401.77,814.09,0
10281,1402,current,2023-08-17,6796.14,4509.36,0
10282,1552,current,2023-03-11,3211.68,1129.18,0
10283,2363,savings,2023-03-25,8407.98,4419.43,0
10284,1628,savings,2021-12-12,3332.45,6076.67,0
10285,116,current,2024-06-06,4838.38,4896.32,1
10286,556,credit,2023-03-04,3850.69,3385.88,0
10287,1125,current,2023-01-24,5535.06,7889.82,0
10288,1182,current,2023-09-15,12157.85,5642.23,0
10289,904,current,2020-05-17,2105.57,1759.93,0
10290,461,current,2024-08-04,3592.09,1176.51,0
10291,267,credit,2022-11-29,4993.08,13155.23,1
10292,363,current,2024-09-19,5699.82,1853.6,0
10293,2377,credit,2020-07-06,14890.74,2958.76,0
10294,989,current,2021-03-02,3726.71,1449.62,0
10295,2404,savings,2024-09-28,11820.27,5437.36,0
10296,838,current,2023-06-18,16082.71,1580.55,0
10297,779,savings,2023-03-26,5958.82,3277.51,0
10298,1224,credit,2022-01-07,3036.71,4307.18,0
10299,2367,current,2022-10-11,13716.3,1979.91,0
10300,1408,current,2022-09-23,11182.34,4266.29,0
10301,88,savings,2020-12-27,2799.72,9129.85,0
10302,679,savings,2022-10-31,17649.14,3819.37,1
10303,2453,current,2022-07-30,3998.5,5140.56,0
10304,387,savings,2021-07-25,5895.14,2427.64,0
10305,2090,savings,2021-09-17,10020.95,2270.57,0
10306,2322,savings,2023-11-02,16340.7,1118.88,0
10307,536,current,2023-05-17,8089.9,3584.86,0
10308,1398,current,2022-05-07,5467.48,6348.17,0
10309,1499,credit,2023-01-08,4914.44,4959.12,0
10310,1985,current,2021-03-16,5463.69,2257.67,0
10311,1996,current,2022-06-30,23798.0,2607.68,0
10312,151,credit,2022-10-22,8841.24,9213.86,0
10313,799,current,2021-04-06,7367.13,4561.75,0
10314,2351,current,2020-11-05,11256.18,5528.46,0
10315,885,savings,2022-08-17,5738.58,5985.51,1
10316,615,savings,2024-09-12,15810.75,2342.93,0
10317,1573,credit,2022-04-22,9330.68,2131.09,0
10318,489,savings,2024-07-03,5370.64,2308.03,0
10319,368,current,2024-04-02,4608.27,2089.49,0
10320,1995,current,2023-09-21,1579.32,8035.0,0
10321,296,current,2024-06-20,12138.95,2849.66,0
10322,2228,credit,2022-01-20,2084.29,7295.82,0
10323,625,current,2023-10-17,15250.75,2921.46,0
10324,267,current,2020-09-21,3520.42,3056.75,0
10325,1854,current,2021-08-06,3866.97,572.86,0
10326,442,current,2022-10-31,20239.25,2208.1,0
10327,917,current,2020-03-10,11560.25,8176.96,0
10328,878,savings,2023-10-28,7240.5,7977.8,0
10329,1269,current,2024-08-15,19066.26,2164.17,0
10330,1184,credit,2020-07-11,6345.29,358.16,0
10331,489,credit,2024-12-15,4782.67,1489.76,0
10332,587,current,2020-06-09,7701.66,2148.04,0
10333,486,credit,2020-08-19,12669.77,2159.67,0
10334,139,current,2023-10-23,2512.46,2158.82,0
10335,1627,current,2023-06-05,3799.38,3325.31,0
10336,1177,current,2024-09-04,3096.2,1354.17,0
10337,271,savings,2022-02-14,2699.23,2982.66,0
10338,829,savings,2022-11-10,5891.93,3988.44,0
10339,1670,current,2020-09-28,2652.16,2291.41,0
10340,713,savings,2023-06-16,1392.4,3443.23,0
10341,1002,savings,2024-12-26,3775.72,9052.88,0
10342,1860,savings,2022-12-25,3589.17,5105.74,0
10343,1679,current,2024-08-30,8985.03,4617.23,0
10344,1752,savings,2021-12-19,11975.54,2443.29,0
10345,955,savings,2024-11-28,4225.78,2083.25,0
10346,1210,current,2022-09-06,3832.19,3109.51,0
10347,2116,savings,2020-09-19,19547.95,4549.27,0
10348,2181,current,2021-10-23,11700.91,3793.32,0
10349,139,savings,2022-06-16,8342.17,3532.3,1
10350,2096,savings,2020-05-02,5252.79,5664.83,0
10351,2234,current,2024-06-22,11535.36,4370.71,0
10352,2357,current,2021-03-12,2889.03,5433.03,0
10353,672,savings,2023-05-17,11868.87,1578.78,0
10354,1254,savings,2024-08-05,9271.43,1166.65,0
10355,107,savings,2022-03-04,10429.11,8557.29,0
10356,275,savings,2023-01-17,7296.92,329.22,0
10357,1407,current,2022-07-31,2237.72,1297.18,0
10358,516,current,2023-10-26,2955.52,2427.2,0
10359,561,savings,2020-03-11,9599.29,7248.39,0
10360,743,current,2021-10-18,8965.78,1132.42,0
10361,1149,savings,2023-01-21,4563.7,605.58,0
10362,383,current,2020-06-15,4495.49,1653.6,0
10363,2006,current,2024-04-17,13917.01,2213.63,0
10364,1671,savings,2023-02-27,6670.87,3413.3,0
10365,1979,savings,2020-01-06,3624.32,4683.66,1
10366,2316,savings,2020-01-23,15320.36,5787.08,0
10367,1501,current,2020-10-18,14447.6,917.16,0
10368,905,savings,2023-04-26,6662.55,292.38,0
10369,2445,current,2022-08-03,7615.66,3331.06,0
10370,1415,savings,2022-05-30,11726.57,1111.97,0
10371,1160,savings,2022-10-20,10041.82,2033.16,0
10372,1041,current,2022-06-21,2170.72,2535.39,0
10373,99,savings,2021-09-18,15632.71,2152.74,0
10374,2390,current,2020-01-14,1819.17,531.69,0
10375,2049,current,2020-02-20,8909.52,3582.87,0
10376,1749,savings,2023-06-11,2586.27,10595.76,0
10377,554,current,2023-09-19,10029.47,2989.68,0
10378,2321,credit,2021-03-13,3936.22,11694.86,0
10379,441,current,2021-03-19,4141.61,321.8,0
10380,604,current,2022-01-14,11306.55,1628.39,0
10381,176,savings,2023-03-22,2585.07,9502.49,0
10382,721,current,2022-12-19,4557.61,1589.34,0
10383,820,credit,2022-10-17,2665.31,3769.49,0
10384,1988,current,2020-03-08,7245.12,3038.64,0
10385,816,current,2022-02-25,2625.34,2468.36,0
10386,2390,current,2023-10-05,8421.58,5831.41,0
10387,757,current,2022-12-13,14330.64,3119.55,0
10388,1312,current,2024-01-12,1087.63,5156.92,0
10389,1483,current,2023-06-22,3950.8,9660.75,0
10390,2073,current,2024-06-30,2871.39,5953.16,0
10391,1879,current,2022-11-10,2204.95,1288.13,0
10392,2169,current,2022-11-04,8274.73,13301.5,0
10393,2345,current,2022-10-14,7645.86,4576.66,0
10394,294,current,2021-04-27,15573.21,2653.21,0
10395,236,current,2022-03-06,10549.33,1092.54,0
10396,1123,current,2020-11-03,6909.16,3265.56,0
10397,376,current,2022-02-23,8029.44,1734.9,0
10398,1234,current,2020-09-30,4550.71,852.67,1
10399,1475,current,2022-06-15,8206.42,1188.84,0
10400,691,credit,2024-10-07,1837.08,714.85,0
10401,246,current,2022-04-05,6035.93,421.11,0
10402,2412,current,2023-09-09,9083.18,2351.88,0
10403,927,savings,2022-03-12,5814.64,2843.08,0
10404,2098,current,2024-07-11,4068.21,4152.84,0
10405,1562,current,2021-01-18,7121.14,4483.58,0
10406,1656,savings,2024-03-02,3615.08,2054.77,0
10407,1952,savings,2023-08-15,5569.52,2272.66,0
10408,663,credit,2024-06-10,11207.6,3614.36,0
10409,544,credit,2020-08-30,11660.01,1244.06,0
10410,2492,current,2024-06-20,7755.53,5018.27,0
10411,1670,savings,2024-07-16,3086.13,2428.6,0
10412,731,current,2021-06-24,5191.96,5604.22,0
10413,1615,credit,2023-02-14,7209.95,3370.04,0
10414,985,current,2022-12-06,3920.26,2642.16,0
10415,2150,current,2020-03-30,18210.21,6682.88,0
10416,1271,current,2022-08-16,3987.71,805.87,0
10417,785,current,2023-04-17,6884.77,4022.26,0
10418,1726,current,2021-01-09,1462.05,8562.55,0
10419,1876,savings,2021-10-21,12125.98,3478.33,0
10420,932,current,2022-12-04,16433.69,2995.82,0
10421,1880,savings,2024-08-23,3032.73,5698.32,0
10422,586,current,2020-04-20,1888.05,2044.26,0
10423,598,current,2024-09-04,7693.62,2518.76,0
10424,2067,current,2024-01-29,19550.12,1095.71,0
10425,1553,current,2024-03-23,2158.71,1948.14,0
10426,88,current,2020-03-27,5330.78,4786.24,0
10427,1688,current,2022-11-02,8139.19,2568.57,0
10428,765,current,2021-11-03,7094.51,1489.95,0
10429,687,savings,2024-08-04,8986.79,6878.59,0
10430,1061,current,2023-09-14,15001.06,6277.86,0
10431,1130,savings,2023-03-31,12280.07,1645.6,0
10432,2230,savings,2020-02-20,5246.76,6243.3,0
10433,1090,current,2024-05-16,2129.72,4698.85,0
10434,742,credit,2022-06-12,12864.94,3624.03,0
10435,1934,savings,2020-10-19,5318.63,8920.55,0
10436,1357,savings,2024-05-14,7031.17,4001.19,0
10437,2,savings,2024-07-08,11495.09,1769.99,0
10438,1581,current,2022-06-25,12615.57,2377.3,0
10439,1253,credit,2023-04-22,11079.72,758.54,0
10440,1437,current,2023-01-19,17596.47,4591.67,0
10441,461,current,2021-07-07,6522.35,8829.61,0
10442,1196,savings,2023-09-27,4175.46,4033.24,0
10443,1618,current,2024-12-26,3313.29,3629.94,0
10444,1693,savings,2024-08-31,4351.47,5587.84,0
10445,1701,current,2023-06-07,4480.02,4998.23,0
10446,2494,current,2021-10-19,7771.96,6993.66,1
10447,1253,credit,2024-07-15,9586.37,3105.92,0
10448,1075,current,2024-08-19,2955.29,4296.69,0
10449,1356,current,2020-01-11,11516.44,2985.06,0
10450,823,savings,2021-09-09,12222.25,1075.2,0
10451,788,savings,2022-10-05,9735.43,1297.35,0
10452,1726,savings,2022-11-20,4816.68,1870.93,0
10453,784,current,2023-07-24,14665.42,1041.71,0
10454,1873,credit,2022-07-26,6442.2,3542.21,1
10455,1863,savings,2020-01-26,3797.25,5839.1,0
10456,2384,savings,2020-10-29,2932.29,2063.1,0
10457,330,current,2023-10-23,7354.42,622.64,0
10458,909,current,2023-06-19,4878.94,1717.95,0
10459,1929,current,2023-04-03,2330.73,2583.31,0
10460,1073,current,2022-03-15,1796.79,5562.12,0
10461,1638,current,2021-05-16,8102.3,3304.67,0
10462,1839,current,2021-07-16,2049.71,3299.18,0
10463,2212,savings,2023-06-11,783.6,4438.0,0
10464,566,current,2022-07-09,12332.37,6161.76,0
10465,651,current,2020-08-26,3230.26,8610.35,0
10466,1178,current,2021-12-30,8950.27,2069.24,0
10467,1266,credit,2024-02-12,7255.01,3106.39,0
10468,2263,current,2022-12-29,4103.81,2066.04,0
10469,98,current,2024-04-29,15688.44,4278.86,0
10470,614,credit,2022-07-17,9876.79,617.12,0
10471,2282,savings,2022-06-04,6173.42,10144.1,1
10472,1537,current,2024-09-28,3464.55,4605.76,0
10473,1689,savings,2022-07-15,9382.75,4117.18,0
10474,625,credit,2020-09-03,10325.33,1756.79,0
10475,1558,current,2022-01-03,6824.33,2329.2,0
10476,925,savings,2023-03-27,6281.99,1042.95,1
10477,1832,current,2021-09-22,9859.3,1676.25,0
10478,227,savings,2022-01-18,6074.53,6162.16,0
10479,711,savings,2024-05-12,3745.91,756.15,0
10480,1612,credit,2022-03-05,2180.46,11512.9,1
10481,1510,savings,2021-07-10,6106.81,6977.66,0
10482,2101,current,2020-07-15,2123.87,4056.38,0
10483,2003,current,2022-01-05,10406.52,1575.43,0
10484,37,credit,2023-10-31,6107.22,5162.0,0
10485,226,current,2021-07-01,11421.5,4826.69,0
10486,886,current,2022-05-08,7621.72,2036.15,0
10487,2398,savings,2023-04-13,8975.62,4533.89,0
10488,1193,current,2024-08-20,4004.04,2575.47,0
10489,2230,current,2024-01-25,5832.95,565.78,0
