alert_id,entity_type,entity_id,event_time,trigger_source,model_score,alert_priority,review_outcome,recovery_amount
80000,transaction,5,2025-02-09 21:24:05,anomaly_detector,0.524,medium,investigated,0.0
80001,transaction,8,2025-03-08 01:55:01,rule_engine,0.6259,medium,pending,0.0
80002,transaction,18,2025-03-11 23:17:01,anomaly_detector,0.2601,low,pending,0.0
80003,transaction,54,2025-03-03 01:57:18,ml_model,0.1655,low,pending,0.0
80004,transaction,63,2025-03-29 05:33:56,anomaly_detector,0.2065,low,auto_closed,0.0
80005,transaction,66,2025-02-15 04:41:10,ml_model,1.0,high,investigated,51.57
80006,transaction,74,2025-03-14 13:57:07,rule_engine,0.5653,medium,investigated,89.93
80007,transaction,75,2025-03-19 21:38:02,ml_model,0.8067,high,investigated,123.56
80008,transaction,81,2025-02-26 10:42:31,rule_engine,0.3349,low,investigated,0.0
80009,transaction,92,2025-03-20 02:17:38,ml_model,0.4645,medium,auto_closed,0.0
80010,transaction,102,2025-02-13 01:21:10,rule_engine,0.2543,low,auto_closed,0.0
80011,transaction,105,2025-02-28 18:34:48,anomaly_detector,0.5332,medium,auto_closed,0.0
80012,transaction,121,2025-01-22 15:30:15,rule_engine,1.0,high,investigated,94.49
80013,transaction,131,2025-02-04 21:31:45,anomaly_detector,0.6824,medium,pending,0.0
80014,transaction,134,2025-03-01 12:27:58,rule_engine,0.1738,low,pending,0.0
80015,transaction,143,2025-01-29 18:37:35,anomaly_detector,0.5303,medium,auto_closed,0.0
80016,transaction,147,2025-02-26 05:37:06,rule_engine,0.3261,low,pending,0.0
80017,transaction,161,2025-02-13 12:31:43,rule_engine,0.0343,low,pending,0.0
80018,transaction,199,2025-02-04 22:45:14,rule_engine,0.664,medium,pending,0.0
80019,transaction,202,2025-02-25 22:52:19,ml_model,0.176,low,auto_closed,0.0
80020,transaction,205,2025-01-26 18:04:28,ml_model,0.249,low,investigated,0.0
80021,transaction,215,2025-01-20 07:42:46,ml_model,0.2453,low,investigated,0.0
80022,transaction,227,2025-01-30 12:12:56,ml_model,0.5769,medium,investigated,73.03
80023,transaction,243,2025-03-31 15:51:52,rule_engine,0.5158,medium,investigated,157.86
80024,transaction,253,2025-03-15 00:49:40,anomaly_detector,0.5512,medium,auto_closed,0.0
80025,transaction,254,2025-01-05 14:42:55,rule_engine,0.3394,low,pending,0.0
80026,transaction,263,2025-01-16 04:05:03,rule_engine,0.6996,medium,investigated,46.77
80027,transaction,274,2025-02-13 17:14:47,ml_model,0.3333,low,auto_closed,0.0
80028,transaction,279,2025-01-24 06:23:44,anomaly_detector,0.2076,low,investigated,0.0
80029,transaction,289,2025-02-01 19:34:11,rule_engine,0.3586,low,pending,0.0
80030,transaction,292,2025-03-01 09:44:29,anomaly_detector,0.3632,low,pending,0.0
80031,transaction,297,2025-01-10 17:52:55,rule_engine,0.7136,high,auto_closed,190.01
80032,transaction,310,2025-01-24 18:39:27,ml_model,0.6952,medium,investigated,74.76
80033,transaction,329,2025-01-30 11:09:12,rule_engine,0.3839,low,investigated,159.3
80034,transaction,333,2025-01-04 22:33:41,rule_engine,0.3648,low,pending,0.0
80035,transaction,334,2025-01-08 17:34:38,rule_engine,0.1258,low,investigated,0.0
80036,transaction,342,2025-03-22 22:59:13,rule_engine,0.956,high,auto_closed,100.58
80037,transaction,343,2025-03-25 02:00:45,rule_engine,0.3073,low,pending,0.0
80038,transaction,347,2025-02-13 07:53:44,rule_engine,0.0645,low,auto_closed,0.0
80039,transaction,352,2025-01-14 00:07:39,rule_engine,0.2251,low,pending,0.0
