customer_id,customer_segment,kyc_level,age_band,occupation_group,residency_flag,historical_risk_band
1,affluent,1,25_34,retail,domestic,low
2,mass,2,35_49,self_employed,domestic,low
3,affluent,3,35_49,professional,domestic,low
4,mass,3,25_34,retail,domestic,medium
5,mass,2,18_24,retail,domestic,low
6,sme,1,25_34,self_employed,domestic,low
7,affluent,3,35_49,retired,domestic,low
8,affluent,3,35_49,student,overseas,low
9,mass,2,35_49,public_sector,domestic,medium
10,mass,2,25_34,public_sector,domestic,low
11,mass,2,25_34,public_sector,domestic,low
12,sme,2,35_49,retail,domestic,low
13,mass,1,25_34,professional,domestic,low
14,affluent,1,35_49,public_sector,domestic,low
15,mass,2,25_34,self_employed,overseas,low
16,mass,3,25_34,retail,domestic,low
17,mass,1,35_49,student,domestic,low
18,mass,2,25_34,public_sector,domestic,low
19,affluent,2,35_49,trade,domestic,low
20,mass,2,25_34,professional,domestic,low
21,affluent,2,50_plus,professional,domestic,low
22,mass,2,50_plus,trade,domestic,low
23,sme,2,50_plus,retail,domestic,medium
24,affluent,2,35_49,professional,overseas,low
25,affluent,3,35_49,professional,domestic,low
26,mass,2,35_49,professional,domestic,low
27,mass,3,25_34,self_employed,overseas,low
28,mass,3,25_34,self_employed,domestic,low
29,mass,3,35_49,trade,domestic,low
30,mass,2,18_24,professional,domestic,low
31,affluent,2,18_24,professional,domestic,low
32,sme,2,50_plus,professional,domestic,low
33,mass,2,18_24,trade,domestic,low
34,mass,1,35_49,professional,domestic,low
35,mass,3,35_49,trade,overseas,low
36,mass,2,25_34,retired,overseas,medium
37,mass,2,50_plus,retail,domestic,low
38,mass,2,25_34,student,domestic,low
39,mass,1,50_plus,professional,domestic,medium
40,mass,2,35_49,trade,domestic,low
41,mass,2,25_34,retired,domestic,low
42,affluent,2,25_34,trade,domestic,low
43,affluent,2,25_34,public_sector,domestic,low
44,mass,2,25_34,retired,domestic,low
45,affluent,2,25_34,public_sector,domestic,low
46,affluent,2,50_plus,trade,domestic,low
47,mass,3,25_34,retail,domestic,medium
48,mass,2,50_plus,professional,domestic,low
49,mass,2,25_34,professional,overseas,low
50,mass,2,50_plus,professional,domestic,low
51,mass,2,25_34,student,domestic,low
52,mass,2,25_34,public_sector,domestic,low
53,affluent,2,35_49,trade,domestic,low
54,mass,3,18_24,professional,domestic,low
55,affluent,2,50_plus,public_sector,domestic,medium
56,affluent,2,25_34,student,domestic,low
57,mass,1,35_49,trade,domestic,low
58,mass,2,35_49,trade,domestic,low
59,mass,2,35_49,student,domestic,low
60,mass,1,18_24,student,overseas,low
61,mass,2,25_34,student,domestic,low
62,mass,2,25_34,trade,domestic,low
63,mass,2,25_34,professional,domestic,low
64,affluent,2,18_24,retail,domestic,medium
65,mass,2,50_plus,trade,domestic,low
66,mass,2,35_49,student,overseas,low
67,mass,1,35_49,professional,domestic,low
68,mass,1,25_34,public_sector,overseas,low
69,mass,2,25_34,student,domestic,high
70,mass,3,35_49,retired,domestic,low
71,mass,1,25_34,public_sector,domestic,low
72,mass,2,25_34,retired,domestic,medium
73,affluent,2,25_34,professional,domestic,low
