device_id,first_seen,last_seen,num_linked_accounts,risk_score_external
200000,2024-03-10,2025-10-12,1,0.3139
200001,2024-01-27,2025-11-17,1,0.2411
200002,2024-10-26,2025-08-25,1,0.2215
200003,2024-09-05,2025-07-17,1,0.4913
200004,2024-07-01,2025-06-04,1,0.4038
200005,2024-04-19,2025-08-18,1,0.1286
200006,2024-11-13,2025-06-21,1,0.1412
200007,2024-11-11,2025-09-25,1,0.0111
200008,2024-01-01,2025-10-23,1,0.2457
200009,2024-10-28,2025-06-21,1,0.2634
200010,2024-06-21,2025-09-01,1,0.2044
200011,2024-05-01,2025-09-05,1,0.3539
200012,2024-05-07,2025-07-27,1,0.0897
200013,2024-06-17,2025-07-10,1,0.0406
200014,2024-07-28,2025-10-07,2,0.2876
200015,2024-12-16,2025-07-11,1,0.2366
200016,2024-01-10,2025-06-06,1,0.2273
200017,2024-08-09,2025-09-17,1,0.0648
200018,2024-01-24,2025-06-13,1,0.2019
200019,2024-01-03,2025-07-26,1,0.2564
200020,2024-04-20,2025-06-16,1,0.2655
200021,2024-10-10,2025-09-08,2,0.0789
200022,2024-05-06,2025-07-10,1,0.7723
200023,2024-05-11,2025-07-18,4,0.2001
200024,2024-11-25,2025-08-11,1,0.1231
200025,2024-04-10,2025-08-27,1,0.3195
200026,2024-10-07,2025-10-08,5,0.027
200027,2024-10-30,2025-11-15,1,0.11
200028,2024-08-24,2025-09-17,2,0.3415
200029,2024-12-19,2025-08-27,1,0.1466
200030,2024-12-25,2025-09-14,1,0.1065
200031,2024-01-23,2025-08-30,1,0.2268
200032,2024-03-03,2025-06-02,2,0.1398
200033,2024-05-22,2025-08-28,1,0.1322
200034,2024-08-31,2025-10-12,1,0.2865
200035,2024-04-12,2025-11-02,3,0.0715
200036,2024-08-20,2025-06-17,1,0.4539
200037,2024-11-23,2025-10-01,4,0.0154
200038,2024-01-03,2025-06-20,1,0.0589
200039,2024-11-12,2025-06-06,2,0.1675
200040,2024-06-26,2025-06-09,1,0.1006
200041,2024-11-24,2025-06-22,2,0.3161
200042,2024-09-05,2025-06-16,2,0.5814
200043,2024-01-16,2025-09-13,1,0.0162
200044,2024-11-25,2025-11-13,2,0.055
200045,2024-01-19,2025-10-15,5,0.193
200046,2024-04-01,2025-10-10,2,0.0112
200047,2024-07-20,2025-06-22,3,0.0183
200048,2024-11-25,2025-11-16,2,0.2244
200049,2024-03-01,2025-08-30,1,0.1121
200050,2024-07-15,2025-06-06,2,0.2803
200051,2024-02-11,2025-09-24,1,0.2738
200052,2024-05-03,2025-10-05,1,0.3034
200053,2024-04-05,2025-08-12,1,0.0401
200054,2024-06-05,2025-10-07,1,0.0627
200055,2024-09-15,2025-10-03,2,0.0298
200056,2024-09-20,2025-09-13,2,0.2152
200057,2024-09-02,2025-08-01,2,0.1281
200058,2024-01-11,2025-11-27,1,0.0556
200059,2024-10-13,2025-09-21,1,0.0497
200060,2024-08-24,2025-08-23,1,0.1858
200061,2024-01-23,2025-10-16,1,0.4038
200062,2024-12-11,2025-07-14,2,0.113
200063,2024-10-06,2025-11-20,2,0.2341
200064,2024-09-09,2025-10-11,1,0.1069
200065,2024-06-28,2025-09-24,2,0.4007
200066,2024-10-17,2025-07-18,1,0.524
200067,2024-04-24,2025-08-03,3,0.2124
200068,2024-09-21,2025-11-18,2,0.1212
200069,2024-08-10,2025-10-08,1,0.1852
200070,2024-08-10,2025-06-21,2,0.3548
200071,2024-10-18,2025-10-23,1,0.0774
200072,2024-03-04,2025-06-22,2,0.1133
200073,2024-02-07,2025-08-14,2,0.233
200074,2024-07-21,2025-08-15,2,0.2075
200075,2024-10-21,2025-08-05,1,0.3473
200076,2024-04-02,2025-08-29,2,0.3475
200077,2024-07-26,2025-06-28,1,0.324
200078,2024-12-15,2025-09-28,2,0.6382
200079,2024-08-14,2025-09-30,3,0.1602
200080,2024-01-29,2025-11-01,1,0.015
200081,2024-11-16,2025-08-20,1,0.0141
200082,2024-12-22,2025-09-04,1,0.5686
200083,2024-09-16,2025-06-24,2,0.1532
200084,2024-08-10,2025-08-02,1,0.1344
200085,2024-07-31,2025-09-10,3,0.4633
200086,2024-08-15,2025-08-14,5,0.161
200087,2024-05-02,2025-11-26,1,0.0849
200088,2024-08-23,2025-07-20,1,0.3145
200089,2024-07-05,2025-06-10,1,0.3777
200090,2024-10-16,2025-11-04,1,0.2994
200091,2024-11-01,2025-09-01,2,0.1988
200092,2024-09-16,2025-06-13,1,0.2016
200093,2024-12-29,2025-11-16,1,0.1458
200094,2024-06-12,2025-07-08,1,0.2202
200095,2024-10-02,2025-11-20,2,0.3326
200096,2024-05-05,2025-08-01,1,0.1852
200097,2024-10-15,2025-08-01,1,0.1089
200098,2024-04-07,2025-07-09,1,0.2355
200099,2024-09-12,2025-07-01,1,0.1543
200100,2024-01-06,2025-10-23,1,0.2286
200101,2024-10-06,2025-08-15,1,0.3155
200102,2024-04-16,2025-09-09,1,0.1089
200103,2024-03-29,2025-07-28,1,0.1937
200104,2024-05-01,2025-08-16,1,0.4594
200105,2024-06-03,2025-08-26,3,0.039
200106,2024-02-16,2025-07-26,1,0.1343
200107,2024-07-21,2025-09-16,1,0.3112
200108,2024-02-15,2025-08-23,1,0.343
200109,2024-07-19,2025-10-17,1,0.1587
200110,2024-05-14,2025-10-18,1,0.0809
200111,2024-08-06,2025-09-23,2,0.1232
200112,2024-02-25,2025-06-19,2,0.051
200113,2024-12-21,2025-11-08,1,0.4092
200114,2024-01-06,2025-10-04,2,0.0128
200115,2024-11-08,2025-10-11,1,0.032
200116,2024-05-08,2025-09-25,2,0.3485
200117,2024-10-29,2025-09-02,1,0.1532
200118,2024-08-05,2025-09-10,1,0.1923
200119,2024-10-30,2025-06-22,2,0.1183
200120,2024-07-21,2025-11-13,1,0.4866
200121,2024-10-16,2025-10-23,1,0.2566
200122,2024-08-27,2025-11-11,2,0.0581
200123,2024-09-04,2025-10-07,1,0.2482
200124,2024-07-27,2025-07-18,3,0.0891
200125,2024-04-03,2025-07-31,1,0.0809
200126,2024-11-05,2025-11-04,1,0.1121
200127,2024-11-08,2025-07-12,1,0.3583
200128,2024-09-20,2025-09-19,2,0.2223
200129,2024-04-12,2025-09-27,1,0.0391
200130,2024-05-28,2025-07-03,1,0.2604
200131,2024-09-21,2025-06-16,1,0.221
200132,2024-03-09,2025-06-07,2,0.0071
200133,2024-02-10,2025-10-20,1,0.0547
200134,2024-05-26,2025-07-23,2,0.1219
200135,2024-07-18,2025-07-11,1,0.0757
200136,2024-11-22,2025-11-11,1,0.1191
200137,2024-04-26,2025-09-15,2,0.1834
200138,2024-03-19,2025-06-05,1,0.2298
200139,2024-09-14,2025-07-25,1,0.1448
200140,2024-11-15,2025-08-25,1,0.0717
200141,2024-11-08,2025-08-25,1,0.2876
200142,2024-08-18,2025-10-20,2,0.1949
200143,2024-01-06,2025-10-23,3,0.1542
200144,2024-08-26,2025-06-06,1,0.2139
200145,2024-02-11,2025-07-22,2,0.0276
200146,2024-10-14,2025-09-17,3,0.4454
200147,2024-12-03,2025-06-06,1,0.0342
200148,2024-08-10,2025-09-11,2,0.5625
200149,2024-03-28,2025-06-14,1,0.0481
200150,2024-04-19,2025-09-12,2,0.3024
200151,2024-09-23,2025-06-14,1,0.3168
200152,2024-10-04,2025-10-11,1,0.2396
200153,2024-10-23,2025-08-22,1,0.1936
200154,2024-02-07,2025-11-19,1,0.1033
200155,2024-09-27,2025-06-15,1,0.173
200156,2024-12-16,2025-11-04,1,0.2991
200157,2024-01-12,2025-08-14,1,0.0896
200158,2024-06-06,2025-08-27,2,0.4151
200159,2024-09-25,2025-10-04,4,0.2759
200160,2024-07-12,2025-09-20,2,0.2393
200161,2024-12-16,2025-11-06,1,0.0419
200162,2024-09-03,2025-10-28,1,0.0404
200163,2024-05-14,2025-07-10,1,0.0295
200164,2024-08-15,2025-07-20,1,0.2836
200165,2024-09-16,2025-11-05,1,0.1783
200166,2024-10-12,2025-10-24,1,0.0835
200167,2024-04-10,2025-11-24,1,0.1106
200168,2024-11-30,2025-11-12,4,0.2079
200169,2024-12-30,2025-09-21,1,0.2062
200170,2024-03-19,2025-11-21,1,0.0591
200171,2024-03-17,2025-10-11,1,0.4028
200172,2024-05-20,2025-11-07,1,0.4561
200173,2024-04-21,2025-08-26,3,0.1042
200174,2024-03-09,2025-11-21,1,0.0468
200175,2024-03-02,2025-06-14,1,0.3389
200176,2024-09-16,2025-11-11,1,0.1267
200177,2024-12-14,2025-11-20,1,0.2556
200178,2024-02-04,2025-10-21,1,0.302
200179,2024-07-27,2025-11-18,2,0.1033
200180,2024-04-12,2025-08-15,2,0.135
200181,2024-03-31,2025-07-29,1,0.1159
200182,2024-07-27,2025-06-25,3,0.3674
200183,2024-02-19,2025-07-06,2,0.0998
200184,2024-01-31,2025-11-03,1,0.1788
200185,2024-11-15,2025-06-12,1,0.4031
200186,2024-06-11,2025-07-07,2,0.2651
200187,2024-01-23,2025-08-29,1,0.2039
200188,2024-11-15,2025-08-04,1,0.3484
200189,2024-08-22,2025-11-14,1,0.1028
200190,2024-09-26,2025-06-06,1,0.104
200191,2024-08-10,2025-06-08,1,0.184
200192,2024-06-21,2025-07-19,1,0.4093
200193,2024-10-08,2025-09-19,3,0.4626
200194,2024-05-05,2025-08-04,1,0.252
200195,2024-09-05,2025-10-29,1,0.1586
200196,2024-11-18,2025-06-18,1,0.2129
200197,2024-11-01,2025-08-08,1,0.1485
200198,2024-07-21,2025-09-25,1,0.0972
200199,2024-01-14,2025-09-19,1,0.1299
200200,2024-01-06,2025-09-02,1,0.1574
200201,2024-06-06,2025-08-19,1,0.1704
200202,2024-08-29,2025-06-17,1,0.2498
200203,2024-01-30,2025-06-12,1,0.0933
200204,2024-05-29,2025-06-10,1,0.5095
200205,2024-05-27,2025-08-30,1,0.093
200206,2024-06-16,2025-11-07,1,0.0301
200207,2024-07-23,2025-06-17,1,0.179
200208,2024-04-11,2025-06-12,4,0.244
200209,2024-08-04,2025-10-02,1,0.0445
200210,2024-06-14,2025-08-30,1,0.1146
200211,2024-12-03,2025-07-26,1,0.1825
200212,2024-04-28,2025-06-04,1,0.0699
200213,2024-12-02,2025-10-23,1,0.0931
200214,2024-12-17,2025-09-27,1,0.0776
200215,2024-04-23,2025-09-14,3,0.0435
200216,2024-05-28,2025-07-13,1,0.054
200217,2024-09-12,2025-11-16,2,0.0673
200218,2024-06-16,2025-06-12,1,0.1877
200219,2024-09-17,2025-10-11,1,0.1402
200220,2024-04-04,2025-10-09,1,0.2996
200221,2024-12-15,2025-10-09,1,0.1816
200222,2024-09-11,2025-09-17,2,0.3253
200223,2024-01-31,2025-07-25,2,0.0313
200224,2024-03-29,2025-08-22,1,0.1234
200225,2024-08-13,2025-08-19,1,0.0107
200226,2024-04-16,2025-11-03,1,0.1537
200227,2024-05-28,2025-10-13,1,0.2651
200228,2024-08-23,2025-08-25,2,0.5098
200229,2024-05-06,2025-10-08,1,0.1003
200230,2024-11-26,2025-11-22,1,0.1974
200231,2024-08-13,2025-10-03,1,0.5043
200232,2024-06-02,2025-08-04,1,0.1542
200233,2024-04-12,2025-06-02,1,0.0083
200234,2024-04-17,2025-11-06,1,0.2712
200235,2024-01-14,2025-06-04,1,0.6043
200236,2024-02-01,2025-08-31,4,0.0044
200237,2024-10-10,2025-06-13,3,0.0579
200238,2024-10-07,2025-11-06,1,0.4988
200239,2024-02-01,2025-06-06,2,0.4634
200240,2024-07-20,2025-10-02,1,0.0642
200241,2024-04-29,2025-10-18,1,0.339
200242,2024-09-11,2025-10-10,1,0.244
200243,2024-08-05,2025-09-07,1,0.1195
200244,2024-10-18,2025-09-15,1,0.2233
200245,2024-08-15,2025-08-30,4,0.1409
200246,2024-03-13,2025-10-15,1,0.1853
200247,2024-08-31,2025-06-16,3,0.0832
200248,2024-10-31,2025-11-08,1,0.1985
200249,2024-12-28,2025-10-18,1,0.3576
200250,2024-09-13,2025-11-22,4,0.0471
200251,2024-05-26,2025-06-17,1,0.0729
200252,2024-07-04,2025-07-08,1,0.012
200253,2024-02-20,2025-07-10,1,0.1267
200254,2024-08-20,2025-08-14,2,0.0691
200255,2024-02-20,2025-10-26,1,0.013
200256,2024-04-04,2025-10-20,3,0.0715
200257,2024-07-05,2025-10-03,1,0.3254
200258,2024-06-23,2025-08-11,1,0.4322
200259,2024-05-20,2025-06-17,2,0.4066
200260,2024-08-24,2025-10-03,1,0.3892
200261,2024-11-29,2025-06-14,1,0.1098
200262,2024-12-02,2025-07-07,1,0.1291
200263,2024-07-05,2025-08-13,1,0.4576
200264,2024-07-20,2025-10-18,1,0.243
