case_id,transaction_id,account_id,review_outcome,confirmed_loss,recovery_amount,investigator_team
50000,1,10000,not_substantiated,0.0,0.0,L1_auto
50001,2,10000,not_substantiated,0.0,0.0,L2_analyst
50002,5,10000,monitor,0.0,0.0,L1_auto
50003,22,10002,not_substantiated,0.0,0.0,L1_auto
50004,24,10002,not_substantiated,0.0,0.0,L1_auto
50005,29,10003,not_substantiated,0.0,0.0,L2_analyst
50006,41,10004,not_substantiated,0.0,0.0,L1_auto
50007,50,10006,monitor,0.0,0.0,L2_analyst
50008,52,10006,not_substantiated,0.0,0.0,L2_analyst
50009,59,10007,monitor,0.0,0.0,L2_analyst
50010,62,10007,not_substantiated,0.0,0.0,L2_analyst
50011,64,10008,monitor,0.0,0.0,L2_analyst
50012,66,10008,substantiated,103.15,64.47,L1_auto
50013,68,10009,not_substantiated,0.0,0.0,L1_auto
50014,72,10009,not_substantiated,0.0,0.0,L1_auto
50015,74,10009,substantiated,179.86,112.41,L2_analyst
50016,75,10009,substantiated,247.12,154.45,L2_analyst
50017,81,10010,not_substantiated,0.0,0.0,L2_analyst
50018,83,10010,not_substantiated,0.0,0.0,L2_analyst
50019,86,10011,monitor,0.0,0.0,L1_auto
50020,103,10012,not_substantiated,0.0,0.0,L1_auto
50021,110,10013,not_substantiated,0.0,0.0,L1_auto
50022,115,10013,not_substantiated,0.0,0.0,L2_analyst
50023,121,10014,substantiated,188.97,118.11,L3_specialist
50024,130,10015,monitor,0.0,0.0,L2_analyst
50025,132,10015,not_substantiated,0.0,0.0,L1_auto
50026,144,10017,not_substantiated,0.0,0.0,L1_auto
50027,146,10017,not_substantiated,0.0,0.0,L1_auto
50028,160,10019,not_substantiated,0.0,0.0,L2_analyst
50029,162,10019,monitor,0.0,0.0,L1_auto
50030,165,10020,not_substantiated,0.0,0.0,L1_auto
50031,169,10021,monitor,0.0,0.0,L1_auto
50032,170,10021,not_substantiated,0.0,0.0,L3_specialist
50033,175,10021,not_substantiated,0.0,0.0,L2_analyst
50034,181,10022,not_substantiated,0.0,0.0,L1_auto
50035,183,10022,monitor,0.0,0.0,L2_analyst
50036,188,10022,not_substantiated,0.0,0.0,L3_specialist
50037,193,10023,not_substantiated,0.0,0.0,L1_auto
50038,200,10024,not_substantiated,0.0,0.0,L2_analyst
50039,205,10025,not_substantiated,0.0,0.0,L1_auto
50040,207,10025,not_substantiated,0.0,0.0,L1_auto
50041,215,10027,not_substantiated,0.0,0.0,L2_analyst
50042,227,10029,substantiated,146.05,91.28,L1_auto
50043,229,10029,monitor,0.0,0.0,L1_auto
50044,239,10031,not_substantiated,0.0,0.0,L1_auto
50045,243,10031,substantiated,315.72,197.33,L2_analyst
50046,263,10034,substantiated,93.53,58.46,L2_analyst
50047,273,10035,not_substantiated,0.0,0.0,L2_analyst
50048,275,10035,not_substantiated,0.0,0.0,L2_analyst
50049,279,10036,not_substantiated,0.0,0.0,L1_auto
50050,281,10036,not_substantiated,0.0,0.0,L1_auto
50051,305,10039,not_substantiated,0.0,0.0,L1_auto
50052,307,10039,not_substantiated,0.0,0.0,L1_auto
50053,310,10040,substantiated,149.52,93.45,L3_specialist
50054,313,10040,monitor,0.0,0.0,L1_auto
50055,320,10041,not_substantiated,0.0,0.0,L2_analyst
50056,321,10041,monitor,0.0,0.0,L2_analyst
50057,325,10041,not_substantiated,0.0,0.0,L1_auto
50058,329,10042,substantiated,318.59,199.12,L2_analyst
50059,332,10042,not_substantiated,0.0,0.0,L2_analyst
50060,334,10043,not_substantiated,0.0,0.0,L1_auto
50061,335,10043,not_substantiated,0.0,0.0,L1_auto
50062,336,10043,not_substantiated,0.0,0.0,L3_specialist
50063,339,10043,monitor,0.0,0.0,L1_auto
50064,349,10045,not_substantiated,0.0,0.0,L2_analyst
50065,355,10046,not_substantiated,0.0,0.0,L2_analyst
50066,356,10046,not_substantiated,0.0,0.0,L2_analyst
50067,361,10047,not_substantiated,0.0,0.0,L1_auto
50068,369,10048,not_substantiated,0.0,0.0,L1_auto
50069,370,10048,not_substantiated,0.0,0.0,L2_analyst
50070,380,10049,not_substantiated,0.0,0.0,L1_auto
50071,388,10051,not_substantiated,0.0,0.0,L1_auto
50072,395,10051,not_substantiated,0.0,0.0,L1_auto
50073,397,10051,monitor,0.0,0.0,L1_auto
