login_id,account_id,timestamp,success_flag,device_id,ip_address,geo_hash,browser_fingerprint,password_reset_recent,device_seen_before,label_ato
1,11228,2025-02-08 04:22:41,0,202066,10.176.57.50,WLG,fp_33544,0,1,0
2,11436,2025-02-13 13:19:20,1,201318,10.16.14.213,WLG,fp_91238,0,1,0
3,12005,2025-03-21 00:26:27,1,200361,10.185.94.159,CHC,fp_22161,0,1,0
4,10776,2025-02-14 17:16:18,1,202051,10.35.171.3,WLG,fp_17510,0,1,0
5,13113,2025-03-26 01:03:39,0,201457,10.223.63.170,CHC,fp_68082,0,0,0
6,12412,2025-02-09 15:12:44,1,201987,10.98.178.88,CHC,fp_94621,0,1,0
7,11999,2025-01-14 19:19:52,1,202475,10.206.131.250,WLG,fp_96779,0,1,0
8,11787,2025-03-23 01:10:06,1,201189,10.121.24.224,AKL,fp_58519,0,1,0
9,11158,2025-01-30 08:35:25,1,200530,10.18.239.87,AKL,fp_28557,1,1,0
10,11846,2025-03-08 10:51:32,1,201728,10.164.78.102,AKL,fp_48905,0,0,0
11,10148,2025-03-30 03:37:59,1,201696,10.176.55.152,AKL,fp_79801,0,1,0
12,11597,2025-01-07 12:58:26,1,200222,10.174.224.48,AKL,fp_18483,0,1,0
13,11423,2025-01-14 09:22:11,1,200274,10.221.179.113,AKL,fp_48343,0,1,0
14,10053,2025-02-07 08:06:21,1,200287,10.189.205.29,WLG,fp_71254,0,1,0
15,12311,2025-02-06 14:11:23,1,202030,10.210.194.148,AKL,fp_52323,0,1,0
16,11863,2025-03-23 23:37:42,1,202473,10.207.51.12,MEL,fp_91606,0,1,0
17,11348,2025-01-25 23:16:33,1,200298,10.122.229.168,WLG,fp_34776,0,1,0
18,10428,2025-02-25 10:46:47,1,200024,10.117.145.86,AKL,fp_56758,0,1,0
19,11031,2025-03-21 10:14:17,1,201760,10.215.167.98,AKL,fp_42760,0,1,0
20,12119,2025-01-06 18:47:48,1,200050,10.239.6.34,AKL,fp_77338,0,1,0
21,10229,2025-01-20 18:55:14,1,200506,10.188.14.192,AKL,fp_16276,0,0,0
22,11431,2025-01-31 20:43:16,1,200984,10.11.93.246,MEL,fp_30074,0,1,0
23,11066,2025-02-19 03:51:27,1,202046,10.159.107.227,AKL,fp_19519,0,1,0
24,12509,2025-01-19 14:03:42,1,202376,10.72.213.79,AKL,fp_79575,0,1,0
25,10781,2025-02-11 20:55:58,1,201021,10.40.232.85,WLG,fp_57851,0,1,0
26,12049,2025-02-03 00:47:53,1,200108,10.44.69.30,WLG,fp_36073,0,1,0
27,10174,2025-01-29 15:22:13,1,202239,10.176.64.155,CHC,fp_87017,0,1,0
28,10001,2025-02-28 12:12:38,1,201538,10.111.7.38,SYD,fp_49196,1,1,0
29,10263,2025-03-18 05:53:54,1,200446,10.76.6.104,AKL,fp_79138,0,0,0
30,12254,2025-02-14 17:29:08,1,200688,10.162.170.249,WLG,fp_20271,0,1,0
31,11545,2025-03-01 20:47:39,1,201469,10.15.1.28,AKL,fp_15218,0,1,0
32,11954,2025-01-03 19:04:36,1,201363,10.5.114.195,MEL,fp_60000,0,1,0
33,12158,2025-03-07 21:09:41,1,200899,10.203.3.35,SYD,fp_23851,0,1,0
34,12112,2025-01-24 19:01:11,1,201331,10.172.235.191,SYD,fp_56359,0,1,0
35,10493,2025-02-12 10:08:21,1,202065,10.77.253.80,SYD,fp_39867,0,1,0
36,12456,2025-03-17 23:28:24,1,201847,10.174.103.146,AKL,fp_47706,0,1,1
37,12126,2025-01-29 00:22:36,1,201776,10.3.49.128,AKL,fp_83740,1,1,0
38,12125,2025-03-14 15:35:05,0,201691,10.184.0.202,AKL,fp_53387,0,1,0
39,10033,2025-01-23 17:38:40,1,201960,10.36.186.178,CHC,fp_59100,0,1,0
40,10768,2025-03-11 14:24:16,0,201111,10.16.170.17,AKL,fp_91829,0,1,1
41,10296,2025-01-19 17:54:35,1,200241,10.158.126.48,MEL,fp_86657,0,1,0
42,10221,2025-01-26 07:08:08,1,200987,10.151.204.83,DUD,fp_80201,0,1,0
43,11078,2025-03-25 15:27:29,1,201527,10.229.75.151,DUD,fp_35253,0,1,0
44,12851,2025-01-18 19:17:49,1,201750,10.242.253.205,AKL,fp_45642,0,1,0
45,11262,2025-03-14 00:57:16,1,201837,10.146.47.109,DUD,fp_66442,0,1,0
46,11448,2025-03-17 23:44:43,1,200146,10.184.48.73,SYD,fp_89999,0,1,0
