transaction_id,account_id,timestamp,amount,merchant_category,merchant_risk,counterparty_account_id,channel,channel_risk,device_id,device_risk,geo_hash,geo_distance_score,device_seen_before,geo_seen_before,failed_logins_24h,new_payee_recent,shared_counterparty_risk,num_linked_accounts,label_fraud,label_ato
1,10000,2025-01-23 07:16:47,903.11,crypto,0.8,11373,mobile_app,0.25,200035,0.0715,WLG,0.3442,1,0,0,0,0.2849,3,0,0
2,10000,2025-01-25 07:24:13,236.83,grocery,0.1,11180,ecommerce,0.45,201205,0.4833,MEL,0.0321,1,1,1,0,0.0258,3,0,0
3,10000,2025-01-26 10:16:42,608.62,crypto,0.8,10565,mobile_app,0.25,202022,0.0841,CHC,0.957,1,1,0,0,0.0847,2,0,0
4,10000,2025-02-02 04:54:44,378.84,electronics,0.4,11840,bank_transfer,0.55,201507,0.0009,CHC,0.7913,1,1,0,0,0.2773,3,0,0
5,10000,2025-02-09 21:24:05,299.65,retail,0.2,10204,ecommerce,0.45,200597,0.4033,SYD,0.4447,1,0,1,1,0.0705,1,0,1
6,10000,2025-02-19 11:09:35,300.45,retail,0.2,10696,ecommerce,0.45,202284,0.2584,DUD,0.5321,1,1,0,0,0.0714,2,0,0
7,10000,2025-03-05 19:03:07,321.83,retail,0.2,10201,ecommerce,0.45,200230,0.1974,MEL,0.2662,1,1,0,1,0.0863,1,0,0
8,10000,2025-03-08 01:55:01,147.1,grocery,0.1,10587,bank_transfer,0.55,202104,0.1909,DUD,0.103,1,1,0,0,0.0221,1,0,0
9,10000,2025-03-11 08:07:14,273.45,grocery,0.1,11196,ecommerce,0.45,200334,0.1392,WLG,0.4354,1,1,0,0,0.0927,3,0,0
10,10000,2025-03-12 07:06:42,470.57,retail,0.2,10721,card_present,0.1,200392,0.2457,SYD,0.4212,1,1,1,0,0.1451,2,0,0
11,10000,2025-03-22 11:33:19,178.34,grocery,0.1,11202,ecommerce,0.45,202445,0.1734,MEL,0.9205,0,1,0,0,0.198,1,0,0
12,10000,2025-03-29 05:40:19,399.53,retail,0.2,11734,ecommerce,0.45,202319,0.1788,CHC,0.5246,1,1,0,0,0.262,1,0,0
13,10001,2025-01-06 23:45:27,73.17,grocery,0.1,12205,mobile_app,0.25,200743,0.4087,AKL,0.3578,1,0,0,0,0.3151,2,0,0
14,10001,2025-01-07 21:42:12,245.28,travel,0.35,12342,card_present,0.1,200911,0.0636,SYD,0.8529,1,1,0,0,0.3431,2,0,0
15,10001,2025-01-11 12:45:32,276.5,electronics,0.4,12686,ecommerce,0.45,202218,0.4226,WLG,0.7291,1,1,0,0,0.0135,2,0,0
16,10001,2025-02-21 23:41:59,491.6,grocery,0.1,11280,card_present,0.1,201679,0.0698,WLG,0.3637,0,1,1,0,0.1723,1,0,0
17,10001,2025-02-26 14:33:18,1039.23,crypto,0.8,11521,ecommerce,0.45,201260,0.4298,MEL,0.1881,1,1,0,0,0.0407,1,0,0
18,10001,2025-03-11 23:17:01,920.82,electronics,0.4,12538,ecommerce,0.45,202448,0.0842,WLG,0.6657,0,1,0,1,0.0941,1,0,0
19,10001,2025-03-14 01:05:59,171.08,grocery,0.1,12978,bank_transfer,0.55,201213,0.1276,SYD,0.2487,1,1,0,0,0.2669,1,0,0
20,10001,2025-03-28 22:48:42,305.52,electronics,0.4,13089,bank_transfer,0.55,200882,0.1205,AKL,0.7499,1,1,0,0,0.0021,1,0,0
21,10001,2025-03-30 21:09:00,144.69,retail,0.2,12395,mobile_app,0.25,200431,0.0847,CHC,0.8349,1,0,0,0,0.108,1,0,0
22,10002,2025-01-20 01:22:58,274.7,retail,0.2,11464,card_present,0.1,202067,0.0896,WLG,0.2466,1,1,1,0,0.0175,1,0,0
23,10002,2025-01-21 14:12:50,559.25,retail,0.2,11578,mobile_app,0.25,201169,0.0183,WLG,0.1801,0,1,2,0,0.0624,1,0,0
24,10002,2025-01-29 03:57:16,198.68,retail,0.2,11229,card_present,0.1,200805,0.1677,AKL,0.4962,1,1,0,0,0.1797,2,0,0
25,10002,2025-02-07 15:13:24,772.33,electronics,0.4,10158,ecommerce,0.45,201405,0.1122,AKL,0.8111,1,1,1,0,0.0198,1,0,0
26,10002,2025-02-17 17:36:39,141.78,grocery,0.1,10985,ecommerce,0.45,200809,0.395,DUD,0.5598,1,1,1,1,0.2821,2,0,0
27,10002,2025-03-02 14:21:41,324.91,crypto,0.8,12938,mobile_app,0.25,200802,0.2773,MEL,0.5221,1,1,0,0,0.0532,2,0,0
28,10002,2025-03-03 14:06:32,451.03,travel,0.35,12473,bank_transfer,0.55,201990,0.0724,AKL,0.2776,1,1,0,0,0.0964,1,0,0
29,10003,2025-01-05 11:09:43,228.97,grocery,0.1,12283,card_present,0.1,201818,0.1117,SYD,0.443,1,1,0,0,0.0261,1,0,0
30,10003,2025-01-08 05:44:57,350.45,retail,0.2,12432,card_present,0.1,200323,0.2293,SYD,0.8718,1,1,0,0,0.1426,1,0,0
31,10003,2025-01-14 09:09:43,259.25,grocery,0.1,12585,ecommerce,0.45,201575,0.1531,SYD,0.4891,0,1,1,0,0.3672,1,0,0
32,10003,2025-01-14 20:01:54,196.56,grocery,0.1,11200,ecommerce,0.45,200386,0.0226,AKL,0.0012,1,1,1,0,0.2416,1,0,0
33,10003,2025-01-26 05:19:55,914.05,electronics,0.4,12536,card_present,0.1,201213,0.1276,CHC,0.2741,1,0,2,0,0.0206,1,0,0
34,10003,2025-03-07 23:33:21,175.91,retail,0.2,10209,card_present,0.1,201080,0.0311,MEL,0.6535,1,1,0,0,0.1132,1,0,0
35,10003,2025-03-28 10:30:01,494.16,retail,0.2,10543,ecommerce,0.45,201501,0.0687,CHC,0.8519,1,1,0,0,0.0714,2,0,0
36,10004,2025-01-02 07:32:40,357.36,retail,0.2,10246,bank_transfer,0.55,201297,0.005,DUD,0.5981,1,1,0,0,0.0794,1,0,0
37,10004,2025-01-05 14:06:54,451.99,travel,0.35,10587,ecommerce,0.45,202126,0.1946,AKL,0.0546,1,1,1,0,0.5187,1,0,0
38,10004,2025-01-08 11:10:46,410.61,travel,0.35,10000,ecommerce,0.45,200445,0.2066,SYD,0.5045,1,1,0,0,0.0231,1,0,0
39,10004,2025-01-13 03:33:12,810.58,cash_transfer,0.75,10986,mobile_app,0.25,201277,0.0153,WLG,0.3988,1,1,0,1,0.2899,2,0,0
40,10004,2025-02-02 14:39:51,282.8,grocery,0.1,11322,mobile_app,0.25,201667,0.392,SYD,0.4797,1,1,0,1,0.095,1,0,0
41,10004,2025-03-02 04:25:07,493.61,electronics,0.4,12600,card_present,0.1,200355,0.1186,CHC,0.9722,1,1,0,0,0.0078,1,0,0
42,10004,2025-03-03 04:40:34,296.99,retail,0.2,11654,card_present,0.1,200309,0.1861,MEL,0.3163,1,1,0,0,0.0433,1,0,0
43,10004,2025-03-07 23:19:13,453.44,grocery,0.1,11480,card_present,0.1,202125,0.2931,AKL,0.3164,1,1,0,1,0.0694,1,0,0
44,10004,2025-03-16 18:07:42,98.97,grocery,0.1,12975,bank_transfer,0.55,202060,0.2753,WLG,0.6803,1,1,1,0,0.2126,1,0,0
45,10004,2025-03-18 13:41:08,237.12,retail,0.2,12615,bank_transfer,0.55,200784,0.0547,DUD,0.5577,1,1,0,0,0.219,1,0,0
46,10004,2025-03-22 12:31:19,514.99,travel,0.35,10053,card_present,0.1,202257,0.2681,MEL,0.0257,0,1,0,0,0.0346,2,0,0
47,10005,2025-02-23 12:08:56,241.95,grocery,0.1,11042,bank_transfer,0.55,202295,0.0647,SYD,0.0402,1,1,1,0,0.0955,1,0,0
48,10005,2025-03-02 09:52:56,435.6,travel,0.35,10149,card_present,0.1,200905,0.211,SYD,0.5478,1,1,0,0,0.3579,1,0,0
49,10005,2025-03-19 16:09:27,277.5,retail,0.2,12057,ecommerce,0.45,202451,0.2642,WLG,0.386,1,1,1,0,0.1102,1,0,0
50,10006,2025-01-08 04:10:56,478.96,travel,0.35,10529,bank_transfer,0.55,201057,0.1263,AKL,0.8587,0,1,0,0,0.4883,1,0,0
51,10006,2025-01-25 15:44:50,341.08,grocery,0.1,10720,ecommerce,0.45,200054,0.0627,DUD,0.709,0,1,1,0,0.014,1,0,0
52,10006,2025-01-29 09:09:38,213.45,retail,0.2,12857,card_present,0.1,202159,0.093,CHC,0.8558,1,1,0,0,0.0178,1,0,0
53,10006,2025-02-08 23:24:00,295.26,travel,0.35,11965,card_present,0.1,200814,0.0649,SYD,0.4449,1,1,0,0,0.1388,1,0,0
54,10006,2025-03-03 01:57:18,118.08,travel,0.35,12222,ecommerce,0.45,201639,0.2326,SYD,0.1983,1,1,1,0,0.081,4,0,1
55,10006,2025-03-13 07:54:38,400.09,electronics,0.4,11739,ecommerce,0.45,200049,0.1121,AKL,0.3937,1,1,0,0,0.1245,1,0,0
56,10006,2025-03-18 07:11:42,253.36,electronics,0.4,12201,card_present,0.1,200437,0.0304,AKL,0.793,1,1,1,0,0.1755,1,0,0
57,10006,2025-03-30 21:52:25,142.69,retail,0.2,10496,ecommerce,0.45,201676,0.203,AKL,0.5121,1,1,0,0,0.2402,2,0,0
58,10007,2025-01-04 18:07:45,699.85,electronics,0.4,10212,ecommerce,0.45,201692,0.1366,CHC,0.5606,1,1,1,0,0.1131,1,0,0
59,10007,2025-01-09 21:22:06,141.87,grocery,0.1,10468,bank_transfer,0.55,200903,0.2617,AKL,0.6076,1,1,1,0,0.056,1,0,0
60,10007,2025-01-17 00:05:31,302.72,grocery,0.1,11800,ecommerce,0.45,200291,0.0637,CHC,0.3735,1,1,0,0,0.0263,1,0,0
61,10007,2025-02-09 23:23:32,148.97,grocery,0.1,11373,bank_transfer,0.55,201156,0.5614,AKL,0.5121,1,1,0,0,0.0613,1,0,0
62,10007,2025-03-10 18:05:42,659.3,electronics,0.4,10838,mobile_app,0.25,200103,0.1937,CHC,0.2567,1,1,0,1,0.272,1,0,0
63,10007,2025-03-29 05:33:56,242.78,retail,0.2,12917,mobile_app,0.25,200762,0.0388,AKL,0.0745,0,0,0,0,0.2115,1,0,1
64,10008,2025-01-03 14:37:05,340.38,travel,0.35,12485,mobile_app,0.25,201796,0.3314,WLG,0.538,1,1,0,1,0.0593,1,0,0
65,10008,2025-01-08 07:25:28,488.63,electronics,0.4,10665,bank_transfer,0.55,201200,0.115,WLG,0.6107,1,1,0,0,0.0578,1,0,0
66,10008,2025-02-15 04:41:10,257.87,retail,0.2,11508,ecommerce,0.45,200797,0.1339,WLG,0.4808,1,1,0,0,0.2531,2,1,0
67,10008,2025-03-31 11:31:11,333.5,retail,0.2,10347,card_present,0.1,201549,0.047,AKL,0.9458,1,1,0,0,0.0745,2,0,0
68,10009,2025-01-19 05:57:05,813.84,crypto,0.8,10712,bank_transfer,0.55,200709,0.122,SYD,0.1574,1,1,0,1,0.0779,1,0,0
69,10009,2025-02-06 22:56:35,554.63,retail,0.2,10090,ecommerce,0.45,200784,0.0547,DUD,0.6635,1,1,1,0,0.0945,1,0,0
70,10009,2025-02-11 14:48:19,424.88,electronics,0.4,13061,mobile_app,0.25,200966,0.0849,WLG,0.2855,1,1,0,0,0.0872,2,0,0
71,10009,2025-02-22 23:22:12,600.47,cash_transfer,0.75,11216,card_present,0.1,201913,0.1978,SYD,0.567,0,1,1,0,0.0736,1,0,0
72,10009,2025-02-28 15:03:29,310.57,retail,0.2,12131,ecommerce,0.45,200514,0.1194,CHC,0.5903,1,1,0,0,0.3004,1,0,0
73,10009,2025-03-02 17:40:19,282.76,retail,0.2,10959,ecommerce,0.45,200537,0.2627,SYD,0.4624,1,1,0,0,0.08,2,0,0
74,10009,2025-03-14 13:57:07,449.65,grocery,0.1,10283,ecommerce,0.45,202219,0.3724,MEL,0.3484,1,1,1,0,0.0377,1,1,0
75,10009,2025-03-19 21:38:02,617.79,electronics,0.4,11323,mobile_app,0.25,200542,0.124,WLG,0.3518,1,1,0,1,0.4555,1,1,0
76,10010,2025-01-18 02:59:09,177.21,retail,0.2,12595,ecommerce,0.45,200662,0.0804,MEL,0.613,1,1,0,0,0.0057,2,0,0
77,10010,2025-01-19 15:52:18,261.6,retail,0.2,12171,bank_transfer,0.55,201701,0.2764,WLG,0.3344,1,1,1,0,0.1268,1,0,0
78,10010,2025-01-30 06:52:17,375.2,grocery,0.1,11384,ecommerce,0.45,201920,0.3086,WLG,0.2332,1,1,0,1,0.2229,1,0,0
79,10010,2025-01-31 06:02:24,206.23,grocery,0.1,11319,ecommerce,0.45,200223,0.0313,SYD,0.9497,1,1,1,0,0.3866,2,0,0
80,10010,2025-02-25 23:35:45,650.82,travel,0.35,11411,bank_transfer,0.55,201338,0.05,WLG,0.7268,1,1,0,0,0.1049,2,0,0
81,10010,2025-02-26 10:42:31,167.33,retail,0.2,12591,mobile_app,0.25,200237,0.0579,SYD,0.8975,0,1,0,0,0.1347,3,0,1
82,10010,2025-03-01 16:55:16,314.3,retail,0.2,12622,bank_transfer,0.55,201572,0.4108,CHC,0.0659,1,1,0,0,0.1527,2,0,0
83,10010,2025-03-07 17:34:33,350.81,grocery,0.1,10217,card_present,0.1,202455,0.0988,WLG,0.133,1,1,1,0,0.0483,1,0,0
84,10010,2025-03-18 03:28:40,522.32,electronics,0.4,11585,card_present,0.1,200978,0.3404,WLG,0.019,1,1,1,0,0.0304,1,0,0
85,10011,2025-01-06 15:57:30,573.63,retail,0.2,12139,mobile_app,0.25,201790,0.335,WLG,0.4727,0,1,2,0,0.2617,1,0,0
86,10011,2025-01-06 17:59:31,196.45,grocery,0.1,11527,bank_transfer,0.55,202347,0.104,CHC,0.4789,1,0,0,0,0.1387,1,0,0
87,10011,2025-02-06 01:39:30,739.7,cash_transfer,0.75,10350,ecommerce,0.45,200120,0.4866,AKL,0.8888,1,1,1,0,0.0901,1,0,0
88,10011,2025-02-18 09:07:47,394.59,retail,0.2,11383,card_present,0.1,200408,0.3998,AKL,0.4435,0,1,1,0,0.374,1,0,0
89,10011,2025-03-03 21:10:52,87.48,retail,0.2,12166,ecommerce,0.45,202408,0.1245,MEL,0.5928,1,1,3,0,0.0833,2,0,0
90,10011,2025-03-10 23:23:47,1041.53,crypto,0.8,12517,bank_transfer,0.55,200700,0.0307,AKL,0.2888,1,1,0,0,0.1791,1,0,0
91,10011,2025-03-17 07:01:06,298.76,electronics,0.4,10208,card_present,0.1,201910,0.0559,MEL,0.2703,0,0,0,0,0.0679,2,0,0
92,10011,2025-03-20 02:17:38,308.69,retail,0.2,10123,bank_transfer,0.55,200908,0.1396,SYD,0.7996,1,1,0,0,0.1676,1,0,0
93,10011,2025-03-21 03:13:20,410.52,retail,0.2,12994,card_present,0.1,202494,0.4766,AKL,0.3688,1,1,0,0,0.0183,1,0,0
94,10012,2025-01-08 09:40:55,359.19,retail,0.2,11066,ecommerce,0.45,200467,0.2897,AKL,0.1028,1,1,0,0,0.0356,4,0,0
95,10012,2025-01-14 20:32:16,401.83,grocery,0.1,11285,card_present,0.1,202088,0.5152,WLG,0.8933,1,1,0,0,0.1439,1,0,0
96,10012,2025-01-20 17:05:27,82.66,grocery,0.1,11755,bank_transfer,0.55,201856,0.0054,SYD,0.1929,1,1,0,0,0.2952,1,0,0
97,10012,2025-01-22 23:31:24,329.59,grocery,0.1,10894,mobile_app,0.25,201271,0.2377,CHC,0.9073,1,1,1,1,0.2078,3,0,0
98,10012,2025-02-08 21:27:14,291.61,grocery,0.1,10989,mobile_app,0.25,201766,0.2701,CHC,0.0344,1,1,1,0,0.2037,1,0,0
99,10012,2025-02-10 18:14:20,137.7,grocery,0.1,10862,ecommerce,0.45,200601,0.1958,WLG,0.8585,0,1,0,0,0.0471,1,0,0
100,10012,2025-02-12 02:14:15,146.38,grocery,0.1,12958,ecommerce,0.45,200891,0.2484,CHC,0.6555,1,1,2,0,0.2429,3,0,0
101,10012,2025-02-12 14:49:31,111.23,grocery,0.1,10385,ecommerce,0.45,200948,0.0559,AKL,0.3158,1,1,0,0,0.4694,1,0,0
102,10012,2025-02-13 01:21:10,41.9,grocery,0.1,10149,card_present,0.1,200195,0.1586,CHC,0.4054,1,1,1,1,0.2515,1,0,0
103,10012,2025-02-17 01:03:27,381.92,grocery,0.1,12583,card_present,0.1,201682,0.028,AKL,0.3013,1,1,0,0,0.2042,2,0,0
104,10012,2025-02-26 20:38:58,205.6,retail,0.2,12482,ecommerce,0.45,200800,0.069,SYD,0.6344,1,1,1,0,0.0353,1,0,0
105,10012,2025-02-28 18:34:48,188.03,grocery,0.1,12938,mobile_app,0.25,200772,0.0596,AKL,0.4498,1,1,0,0,0.0676,1,0,0
106,10012,2025-03-17 08:00:10,289.99,retail,0.2,10396,ecommerce,0.45,201191,0.1637,MEL,0.8309,1,1,0,0,0.1588,1,0,0
107,10012,2025-03-22 12:04:22,342.66,cash_transfer,0.75,13032,ecommerce,0.45,200226,0.1537,AKL,0.4298,1,1,0,0,0.0652,1,0,0
108,10013,2025-01-02 18:49:32,561.38,travel,0.35,12476,card_present,0.1,202032,0.0854,CHC,0.3869,1,1,1,0,0.0189,1,0,0
109,10013,2025-01-09 00:51:59,117.51,retail,0.2,12772,bank_transfer,0.55,201504,0.0668,DUD,0.7019,1,1,0,0,0.3383,1,0,0
110,10013,2025-01-25 03:23:08,188.97,grocery,0.1,12393,card_present,0.1,200571,0.2037,MEL,0.8231,1,1,0,0,0.0302,1,0,0
111,10013,2025-01-27 17:12:37,352.14,travel,0.35,10468,bank_transfer,0.55,202012,0.5187,AKL,0.5137,1,1,0,0,0.4699,1,0,0
112,10013,2025-01-31 04:05:01,202.4,grocery,0.1,11484,bank_transfer,0.55,202129,0.215,AKL,0.7613,1,1,0,1,0.274,3,0,0
113,10013,2025-03-05 14:22:08,224.63,grocery,0.1,11864,bank_transfer,0.55,200903,0.2617,SYD,0.4748,1,1,0,1,0.0809,1,0,0
